Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,78.85853576660156,106.74349975585938,75.5751724243164,176.92982482910156,7.213840961456299,53.33533477783203,79.10849481422575,107.9520034790039,75.64086026005992,176.98709678584612,7.3427883742212625,54.198001861572266,78.34890843869533,106.29450225830078,74.91930394806882,174.35247025076032,7.119495275810167,52.366668701171875,78.80756784962874,107.78399658203125,75.36617257703398,174.92521894941493,7.150860747206375,52.4813346862793,80113600,52124000,23198000,23149500,1041924000,235405500
2020-02-18,77.41463470458984,107.78350067138672,75.61051177978516,178.72439575195312,7.382618427276611,57.22666549682617,77.5966440338326,108.30349731445312,76.16386598952577,179.17304546668734,7.401039827252744,57.33333206176758,76.34926987588581,106.20549774169922,75.19101619789893,177.0729913396611,7.091117506539812,55.490665435791016,76.53127920512857,106.2509994506836,75.35672784883174,177.17799477429256,7.11053409323562,56.106666564941406,152531200,58912000,25642000,27792200,620164000,245725500
2020-02-19,78.5357894897461,108.51100158691406,75.8807144165039,179.26043701171875,7.8339338302612305,61.16133117675781,78.76633753940254,109.25499725341797,76.17282066551604,180.12189205359857,7.8516083635339475,62.98533248901367,77.65729255269991,108.05599975585938,75.6871437222989,178.48512455294917,7.505093025636607,60.06800079345703,77.65729255269991,108.38999938964844,75.99666093125346,180.00703527611827,7.505093025636607,61.56666564941406,93984000,51224000,22746000,29997500,694332000,381345000
2020-02-20,77.7301025390625,107.65499877929688,75.48859405517578,176.52291870117188,7.684576034545898,59.96066665649414,78.78575796634391,108.8395004272461,75.99019372622803,179.2317365523129,7.874263112468307,60.79999923706055,77.22290417552242,106.37249755859375,74.85511755870975,173.3450925691192,7.377143062892217,57.3293342590332,78.29554891500301,108.65350341796875,75.58911140978356,178.94457998121786,7.785891849093511,60.79666519165039,100566000,62626000,25962000,36862400,810052000,264523500
2020-02-21,75.97067260742188,104.79850006103516,73.820068359375,170.9425506591797,7.320383548736572,60.06666564941406,77.76650347779221,107.22750091552734,75.18803231655097,175.64230186001902,7.597446607559336,60.87066650390625,75.3518440007245,104.4000015258789,73.57275374256885,169.65993463045433,7.235497367865137,58.6966667175293,77.32239667498202,107.10749816894531,74.8710434826863,175.32643111765134,7.57230437883561,60.46533203125,129554000,92926000,42520000,48572600,768180000,214722000
2020-02-24,72.36202239990234,100.4645004272461,70.65519714355469,163.572265625,6.802852153778076,55.58599853515625,73.81809639904387,101.96499633789062,71.47727087720753,167.07554313301836,7.016686246225031,57.56666564941406,70.19004979476811,99.39849853515625,70.00481082046124,156.2402733599048,6.671415340872214,54.813331604003906,72.13876186738017,100.15899658203125,70.81393833170006,160.58587278820414,6.725931724643267,55.93333435058594,222195200,130940000,49560000,68311100,856916000,227883000
2020-02-25,69.91095733642578,98.63700103759766,68.9861831665039,160.87303161621094,6.523301124572754,53.32733154296875,73.41767156165426,101.7300033569336,71.50065850081133,167.35312091933608,6.940015672208706,57.106666564941406,69.4377377687625,97.9209976196289,68.692588654975,160.47100370822852,6.4214872434165775,52.46666717529297,73.03424203168211,101.32099914550781,71.20955452359632,166.7405271336605,6.878031105595312,56.599998474121094,230673600,124382000,51580000,68073300,1055496000,259357500
2020-02-26,71.02001190185547,98.97949981689453,69.19269561767578,162.88308715820312,6.662702560424805,51.91999816894531,72.28922581008212,100.7334976196289,70.3471798136507,165.8407656458263,6.8568707909705555,54.22066879272461,69.52753744829661,98.02249908447266,68.50000813732794,161.00702520579085,6.5220555257655635,51.740665435791016,69.53481752247102,98.51399993896484,69.41712466045571,162.4427931635171,6.523548780567717,52.16666793823242,198054800,104492000,49776000,56206100,747732000,211282500
2020-02-27,66.37755584716797,94.21499633789062,65.43465423583984,151.40650939941406,6.291819095611572,45.266666412353516,69.4061923618355,98.75,68.14420353278719,159.87754615716182,6.6504977486511425,49.31800079345703,66.24165620285358,94.13800048828125,65.39932357908593,151.2150765935854,6.199409488033335,44.599998474121094,68.21706677109698,96.71900177001953,67.63364403136153,156.32642160207112,6.349107911870958,48.66666793823242,320605600,162880000,62290000,93174900,906416000,364158000
2020-02-28,66.33871459960938,94.1875,66.64388275146484,155.0725555419922,6.72696590423584,44.53266525268555,67.5642477477595,94.48799896240234,66.8031174963142,156.69977143197107,6.786496655836593,46.03466796875,62.215601585249125,90.55650329589844,63.10878181731662,145.49119956539622,6.022561355591224,40.768001556396484,62.43158940686184,90.73149871826172,63.412330880062434,145.88364643793898,6.039249729650356,41.97999954223633,426510000,189620000,80198000,97012700,1133252000,363343500
2020-03-02,72.51493835449219,97.69750213623047,68.9861831665039,165.39089965820312,6.885382175445557,49.574668884277344,73.1531855467126,97.72550201416016,69.04340471098438,165.51533756180737,6.914276004520693,49.5793342590332,67.39683723058747,93.5,65.94472443894038,155.35967106198723,6.501048355361241,45.77799987792969,68.50345328948697,95.32450103759766,67.24799522889303,158.231207136145,6.897089264400628,47.41733169555664,341397200,135234000,55430000,71030800,890744000,302925000
2020-03-03,70.21189880371094,95.44950103759766,66.56774139404297,157.4654541015625,6.62285041809082,49.70066833496094,73.77442519005979,99.81649780273438,70.074474248836,167.50626337555664,7.000957317371102,53.798667907714844,69.3576638774749,94.40450286865234,66.14575530731636,155.31180214387678,6.537415074077582,47.740665435791016,73.69434436871329,98.76850128173828,69.55147725951427,166.3576519192017,6.941177613639033,53.66666793823242,319475600,150690000,56602000,71677000,652792000,386760000
2020-03-04,73.46864318847656,98.79149627685547,68.75130462646484,163.2468719482422,7.086641788482666,49.96666717529297,73.6288122283086,98.9000015258789,68.81002200894605,163.39044294779808,7.096106944114291,51.10133361816406,71.13650139150472,96.0999984741211,66.53191209538853,158.52797215581955,6.65548002883843,48.31533432006836,71.93976834476976,97.32849884033203,67.6246871548153,161.27508565891924,6.7302050167333975,50.930667877197266,219178400,95458000,47598000,49814400,597408000,225735000
2020-03-05,71.08554077148438,96.20149993896484,65.42520904541016,159.1501007080078,6.807169437408447,48.30266571044922,72.69449642985231,98.03600311279297,67.35946593346003,163.55311380346967,7.054009771792561,49.71666717529297,70.71909308665877,95.5,64.77233214000819,158.5949353296999,6.76258349848353,47.871334075927734,71.71650028960082,96.6500015258789,66.95738129290719,158.93952023329146,6.887124632802147,48.2513313293457,187572800,94964000,54380000,47817300,540328000,162790500
2020-03-06,70.14152526855469,95.05449676513672,64.47872924804688,154.6513671875,6.626585483551025,46.89866638183594,70.57592284013839,95.54350280761719,64.827555889874,156.12541593642464,6.685119975650796,47.133331298828125,68.24863164787311,93.4749984741211,62.56139381615548,149.31987490003448,6.426323102976451,45.61800003051758,68.43549184953756,93.75,63.195363838055194,155.64682659379633,6.62758174053055,46.0,226176800,105472000,64640000,72821100,515412000,189943500
2020-03-09,64.5938949584961,90.03050231933594,60.50025177001953,144.17027282714844,6.11347770690918,40.53333282470703,67.48662548846899,93.13849639892578,62.338463471328105,150.99496265942608,6.461196664764584,44.20000076293945,63.8245990046388,88.06449890136719,59.61697392511775,143.57682661752085,5.932643952184699,40.33333206176758,64.00660831738968,88.69300079345703,59.96132825146764,144.53400546163766,5.975485864209641,40.35933303833008,286744800,156264000,69252000,70419300,614160000,256105500
2020-03-10,69.24603271484375,94.59100341796875,63.45512771606445,154.0292205810547,6.503040313720703,43.02199935913086,69.5129811258908,94.7135009765625,63.488966334377615,154.13451083999507,6.503040313720703,44.53333282470703,65.37044835521063,90.90850067138672,60.436558192415546,146.04635238448986,6.127175423072159,40.53333282470703,67.25606913589775,93.54399871826172,62.42107375509726,151.38741218226505,6.3899568373554105,43.96200180053711,285290000,142666000,54872000,65354400,580648000,233916000
2020-03-11,66.8410873413086,91.04299926757812,60.25691604614258,147.0513458251953,6.13913106918335,42.28200149536133,68.24620108036899,93.56600189208984,62.54746738339037,150.94705494253753,6.391451551692772,43.571998596191406,65.97472137640763,90.07499694824219,59.27361813002025,144.67753249700462,6.041989127680995,40.866668701171875,67.31674360006403,92.89250183105469,62.11652899829391,150.4014707619274,6.363056090692467,42.68000030517578,255598800,112496000,54732000,56371600,499964000,199837500
2020-03-12,60.24022674560547,83.83049774169922,55.31304931640625,133.10528564453125,5.387899875640869,37.369998931884766,65.52335133247163,88.25,59.15468318742386,146.89823607785505,5.881331708270247,39.633331298828125,60.184411594270244,83.75,55.1597827507668,132.64584389604912,5.375196528899273,36.41666793823242,62.111284074081155,86.0989990234375,55.863916764377194,139.07808679635838,5.615809954885385,38.72600173950195,418474000,226924000,94326000,93226400,816540000,283636500
2020-03-13,67.45747375488281,89.25,60.42461395263672,152.02870178222656,5.998897552490234,36.44133377075195,67.93070070994933,89.31549835205078,60.431083267311,154.97681406872138,6.003380946123381,40.50466537475586,61.38564487354782,84.03099822998047,55.34987319346634,134.7037606599893,5.470096072412743,33.46666717529297,64.2832360780183,87.75,58.46995836028194,141.18386485149557,5.741346375628971,39.66666793823242,370732000,176194000,79400000,92727400,634836000,339604500
2020-03-16,58.77928924560547,84.4574966430664,53.39472198486328,129.6211395263672,4.891976833343506,29.67133331298828,62.87327957704444,87.97250366210938,57.0009775285844,142.95464658961282,5.6317516611543175,32.9913330078125,58.24296696218062,81.30149841308594,53.100128996168905,129.2191262196637,4.832197130858555,29.47800064086914,58.71619032815072,82.07550048828125,54.22126801964199,134.00501978335495,5.2907576038362425,31.299999237060547,322423600,178346000,96520000,87905900,726972000,307342500
2020-03-17,61.36381912231445,90.39199829101562,55.63700485229492,140.29371643066406,5.411810874938965,28.68000030517578,62.5165408014644,92.88899993896484,56.03211522774084,141.18388578468503,5.501231708194184,31.456666946411133,57.854678750743666,84.46199798583984,52.20541290761247,129.21914970123714,4.757471955983776,26.399999618530273,60.06548484229005,88.77349853515625,54.27252988977044,134.0050441346163,5.004312317866577,29.333999633789062,324056000,218342000,83194000,81059800,833632000,359919000
2020-03-18,59.861637115478516,91.5,54.299896240234375,134.3878936767578,5.051887035369873,24.08133316040039,60.66975874633833,92.08300018310547,54.98661171058381,139.7481006393259,5.2292336038861995,26.99066734313965,57.54405159077075,87.25,51.60328544362562,129.2382818177403,4.500419131132714,23.367332458496094,58.187153255274865,87.5,52.7448309388167,132.09067046730803,4.984136810345993,25.933332443237305,300233600,192904000,93044000,81593200,874268000,356793000
2020-03-19,59.4029655456543,94.04650115966797,55.31902313232422,136.59898376464844,5.3047075271606445,28.50933265686035,61.35895770048267,97.25,57.35628400103994,143.72038128798528,5.398362362741435,30.133333206176758,58.87635255804571,91.63249969482422,52.526374852540556,133.04784422970064,4.817004194396439,23.8973331451416,60.036357886139776,93.0,54.15210150102109,136.65641215191422,5.030467400746231,24.979999542236328,271857200,207998000,74064000,85922700,765512000,452932500
2020-03-20,55.63174819946289,92.30449676513672,53.1563606262207,131.46847534179688,5.124868869781494,28.50200080871582,61.11386719257989,97.8499984741211,56.6531428302749,140.8009658960125,5.736863830889269,31.799999237060547,55.330824836574074,91.0364990234375,52.85231423228287,130.0422740914704,5.109425697692478,28.38599967956543,59.98540735898822,96.31549835205078,56.275944586197916,139.7480636836393,5.454902655235575,29.213333129882812,401693200,196358000,82878000,84866200,804636000,424282500
2020-03-23,54.44989013671875,95.1415023803711,52.455711364746094,130.1571502685547,5.297731399536133,28.952667236328125,55.45215566699075,95.97000122070312,53.09167079517627,134.55061142383002,5.392133997407695,29.46666717529297,51.59598621533572,90.5999984741211,50.20347875276499,126.84532027961379,4.944781813714114,27.366666793823242,55.35023092369006,91.38749694824219,52.5671779570536,131.14304312122096,5.123871959464408,28.906667709350586,336752800,156170000,83672000,78975200,643876000,246817500
2020-03-24,59.912593841552734,97.00499725341797,56.231658935546875,141.9878692626953,6.206632614135742,33.66666793823242,60.10916324280381,97.75,56.39686943848624,143.19392363972096,6.293313623833912,34.24599838256836,56.85969151927787,95.01699829101562,54.06302620724,135.2206241915283,5.680321968852702,31.600000381469727,57.359609676283746,97.57499694824219,54.93635331479006,137.59442301738088,5.703984616493665,31.81999969482422,287531200,142942000,72468000,82516700,1101644000,343428000
2020-03-25,59.58255386352539,94.29199981689453,54.818912506103516,140.62869262695312,6.117959499359131,35.95000076293945,62.67185674280047,97.51300048828125,57.03581063497772,147.72139028792844,6.521472557882373,37.133331298828125,59.286485163699844,94.28900146484375,53.892840020620554,138.2548935442496,6.069139106484016,34.07400131225586,60.85176409780143,96.03450012207031,55.961448858891174,142.5334834948533,6.321708542587317,36.349998474121094,303602000,129582000,90324000,75638200,793432000,318340500
2020-03-26,62.71797561645508,97.77449798583984,57.869327545166016,149.42515563964844,6.407393455505371,35.21066665649414,62.77621621978865,97.82450103759766,58.29529241748378,149.95160680414702,6.531436242149124,37.33333206176758,59.786412185369784,94.4645004272461,54.34169466002882,142.01658782883592,6.227057634565984,34.150001525878906,59.825241722917845,95.0999984741211,55.47079504467959,142.04530201913704,6.325195838645777,36.49266815185547,252087200,124426000,76562000,64568100,696108000,260710500
